AirportCode,FlightNum,ScheduledDepature,ActualDeparture,Destination,Distance miles,ScheduledArrival,ActualArrival,DepartureTerminal,RunwayNum,WeatherConditions
CGD,KL175,00:05,00:18,LHR,216,01:25,01:43,5,3,15°C heavy rain
CGD,SK637,00:25,00:31,FCO,690,02:40,02:46,5,3,15°C heavy rain
CGD,FR231,00:54,00:54,LIS,903,03:34,03:34,2,4,15°C heavy rain
CGD,SK348,01:02,01:02,FCO,690,03:17,03:17,5,4,17°C light rain
CGD,U2423,01:26,01:28,BCN,516,03:16,03:38,1,4,17°C light rain
CGD,AF392,01:28,01:33,FCO,690,03:43,03:48,2,2,17°C light rain
CGD,EK214,02:18,02:19,IST,1378,05:53,05:54,2,4,16°C overcast
CGD,U2161,02:24,02:24,FRA,358,03:44,03:44,1,2,16°C overcast
CGD,TP179,02:56,02:56,MAD,660,05:06,05:08,1,3,16°C overcast
CGD,IB617,03:03,03:03,BCN,516,04:53,04:54,1,3,16°C overcast
CGD,IB360,03:09,03:09,MAD,660,05:19,05:19,3,4,16°C overcast
CGD,IB231,04:02,04:02,MAD,660,06:12,06:12,5,3,15°C heavy rain
CGD,IB886,04:07,04:07,MUC,424,05:37,05:33,5,3,15°C heavy rain
CGD,BA418,04:48,04:48,FRA,358,06:08,06:08,3,2,15°C heavy rain
CGD,AF852,05:05,05:21,LIS,903,07:45,08:01,5,1,15°C heavy rain
CGD,TK762,05:49,05:49,FCO,690,08:04,08:04,2,1,15°C heavy rain
CGD,AF584,06:01,06:01,LIS,903,08:41,08:41,3,4,14°C light rain
CGD,FR892,06:05,06:05,MUC,424,07:35,07:35,4,2,14°C light rain
CGD,TP380,06:13,06:13,FRA,358,07:33,07:33,2,2,14°C light rain
CGD,LH801,06:19,06:19,MUC,424,07:49,07:49,5,4,14°C light rain
CGD,W6301,07:03,07:03,MUC,424,08:33,08:33,5,4,15°C overcast
CGD,W6587,07:19,07:53,LIS,903,09:59,10:33,5,1,15°C overcast
CGD,AF907,07:26,07:26,BCN,516,09:16,09:16,3,4,15°C overcast
CGD,FR489,08:16,08:48,FCO,690,10:31,11:03,5,1,17°C light rain
CGD,AF279,08:27,08:27,BCN,516,10:17,10:17,5,4,17°C light rain
CGD,LH223,09:00,09:00,AMS,248,10:20,10:33,4,1,17°C light rain
CGD,BA660,09:17,09:17,BCN,516,11:07,11:07,5,2,17°C light rain
CGD,QR139,09:20,09:20,FRA,358,10:40,10:40,3,3,17°C light rain
CGD,U2283,09:33,10:05,MUC,424,11:03,11:48,3,3,17°C light rain
CGD,AF467,09:42,09:42,LIS,903,12:22,12:22,4,4,17°C light rain
CGD,BA520,09:44,09:44,BCN,516,11:34,11:41,2,1,17°C light rain
CGD,BA359,10:13,10:29,FRA,358,11:33,12:06,3,1,20°C sun
CGD,U2870,10:20,10:20,FRA,358,11:40,11:40,4,4,20°C sun
CGD,BA288,10:33,12:05,BCN,516,12:23,14:06,5,1,20°C sun
CGD,SN869,10:49,10:49,MUC,424,12:19,12:27,2,1,20°C sun
CGD,AF812,10:58,10:58,LHR,216,12:18,12:18,1,1,20°C sun
CGD,A3384,10:59,10:59,FCO,690,13:14,13:19,3,2,20°C sun
CGD,AY282,11:09,11:09,IST,1378,14:44,14:44,3,2,24°C sun
CGD,AF483,11:18,11:18,IST,1378,14:53,14:53,3,4,24°C sun
CGD,SN450,11:31,11:31,BCN,516,13:21,13:21,1,4,24°C sun
CGD,IB885,11:32,11:51,FCO,690,13:47,14:06,5,1,24°C sun
