AirportCode,FlightNum,ScheduledDepature,ActualDeparture,Destination,Distance miles,ScheduledArrival,ActualArrival,DepartureTerminal,RunwayNum,WeatherConditions
LHR,FR236,00:00,00:00,AMS,230,01:20,01:20,5,2,18°C clear
LHR,U2364,00:03,00:03,CDG,216,01:23,01:21,5,2,18°C clear
LHR,SK101,00:05,00:05,BCN,713,02:15,02:16,2,2,18°C clear
LHR,BA296,00:12,00:27,AMS,230,01:32,01:47,5,2,18°C clear
LHR,AF950,00:13,00:13,CDG,216,01:33,01:33,3,2,18°C clear
LHR,TP472,00:14,00:14,FRA,407,01:49,01:49,2,2,18°C clear
LHR,IB842,00:15,00:15,CDG,216,01:35,01:29,2,1,18°C clear
LHR,AF585,00:15,00:15,AMS,230,01:35,01:33,4,1,18°C clear
LHR,U2679,00:17,00:41,IST,1550,04:12,04:36,4,1,18°C clear
LHR,AY144,00:17,00:27,FCO,898,02:52,03:02,5,1,18°C clear
LHR,BA678,00:18,00:18,FRA,407,01:53,01:53,5,1,18°C clear
LHR,U2837,00:19,00:19,FCO,898,02:54,02:54,4,2,18°C clear
LHR,FR241,00:24,00:24,BCN,713,02:34,02:34,4,2,18°C clear
LHR,AF952,00:25,00:25,BCN,713,02:35,02:35,5,2,18°C clear
LHR,BA198,00:26,00:26,FCO,898,03:01,03:01,4,1,18°C clear
LHR,U2278,00:28,00:42,CDG,216,01:48,02:02,5,2,18°C clear
LHR,U2914,00:29,00:29,FRA,407,02:04,02:04,5,2,18°C clear
LHR,KL250,00:35,05:03,IST,1550,04:30,08:52,3,1,18°C clear
LHR,AF726,00:36,00:36,IST,1550,04:31,04:31,2,2,18°C clear
LHR,LH190,00:38,00:38,IST,1550,04:33,04:33,2,2,18°C clear
LHR,AY892,00:52,01:13,FCO,898,03:27,03:48,3,1,18°C clear
LHR,U2634,00:55,00:55,LIS,975,03:40,03:38,5,1,18°C clear
LHR,U2489,00:55,00:55,AMS,230,02:15,02:15,5,2,18°C clear
LHR,BA447,00:59,01:09,FRA,407,02:34,02:35,2,1,18°C clear
LHR,FR680,00:59,01:10,MUC,586,02:54,03:05,2,1,18°C clear
LHR,LH763,00:59,01:31,BCN,713,03:09,03:59,3,1,18°C clear
LHR,BA927,01:00,01:00,MUC,586,02:55,02:55,5,2,17°C light rain
LHR,BA192,01:00,01:00,MUC,586,02:55,02:55,3,2,17°C light rain
LHR,A3780,01:04,01:04,FCO,898,03:39,03:34,3,1,17°C light rain
LHR,IB336,01:06,01:06,AMS,230,02:26,02:18,4,2,17°C light rain
LHR,AF372,01:07,01:07,MUC,586,03:02,03:02,2,2,17°C light rain
LHR,KL946,01:08,01:08,MAD,772,03:33,03:33,3,1,17°C light rain
LHR,SK360,01:11,01:11,MAD,772,03:36,03:32,3,2,17°C light rain
LHR,U2555,01:11,01:11,LIS,975,03:56,03:56,5,2,17°C light rain
LHR,BA302,01:12,01:12,MUC,586,03:07,03:08,4,1,17°C light rain
LHR,AF872,01:12,01:12,IST,1550,05:07,05:07,5,1,17°C light rain
LHR,AF863,01:13,01:15,CDG,216,02:33,02:35,4,1,17°C light rain
LHR,LH874,01:17,07:33,BCN,713,03:27,09:43,4,1,17°C light rain
LHR,BA307,01:23,01:23,LIS,975,04:08,04:08,5,1,17°C light rain
LHR,KL956,01:23,01:23,BCN,713,03:33,03:33,5,1,17°C light rain
LHR,IB853,01:23,03:51,CDG,216,02:43,05:11,4,1,17°C light rain
LHR,LH246,01:24,01:24,IST,1550,05:19,05:19,5,1,17°C light rain
LHR,A3630,01:26,01:26,IST,1550,05:21,05:38,3,1,17°C light rain
LHR,KL617,01:28,01:28,IST,1550,05:23,05:23,5,2,17°C light rain
LHR,BA479,01:30,01:30,BCN,713,03:40,03:40,2,1,17°C light rain
LHR,BA481,01:31,01:31,MUC,586,03:26,03:26,2,2,17°C light rain
LHR,BA247,01:35,02:00,AMS,230,02:55,03:11,3,1,17°C light rain
LHR,AF497,01:36,01:36,FCO,898,04:11,04:11,4,1,17°C light rain
LHR,BA400,01:36,01:36,FCO,898,04:11,04:11,5,2,17°C light rain
LHR,BA291,01:37,01:37,LIS,975,04:22,04:22,4,1,17°C light rain
LHR,BA932,01:40,02:16,IST,1550,05:35,06:10,5,2,17°C light rain
LHR,TK298,01:40,01:40,MAD,772,04:05,04:05,3,1,17°C light rain
LHR,TP878,01:42,01:42,CDG,216,03:02,03:02,2,1,17°C light rain
LHR,SK145,01:42,01:42,BCN,713,03:52,03:52,5,2,17°C light rain
LHR,AF723,01:43,06:47,FCO,898,04:18,09:16,4,1,17°C light rain
LHR,BA584,01:44,02:12,MUC,586,03:39,04:07,4,1,17°C light rain
LHR,BA311,01:46,01:46,MUC,586,03:41,03:41,4,2,17°C light rain
LHR,BA615,01:48,02:00,CDG,216,03:08,03:20,4,1,17°C light rain
LHR,BA654,01:48,02:12,IST,1550,05:43,06:19,4,1,17°C light rain
LHR,TP281,01:48,01:48,FRA,407,03:23,03:23,4,1,17°C light rain
LHR,LH729,01:49,01:49,BCN,713,03:59,03:59,4,1,17°C light rain
LHR,TP104,01:49,01:49,LIS,975,04:34,04:24,4,2,17°C light rain
LHR,BA332,01:50,02:28,FCO,898,04:25,05:03,2,1,17°C light rain
LHR,AF864,01:50,01:50,CDG,216,03:10,03:10,2,2,17°C light rain
LHR,LH400,01:53,01:53,CDG,216,03:13,03:29,2,2,17°C light rain
LHR,BA416,01:57,01:57,FRA,407,03:32,03:40,3,2,17°C light rain
LHR,A3317,02:01,02:01,CDG,216,03:21,03:39,4,1,16°C overcast
LHR,LH236,02:07,02:07,IST,1550,06:02,06:02,2,1,16°C overcast
LHR,SN189,02:08,02:08,BCN,713,04:18,04:15,4,2,16°C overcast
LHR,TP400,02:08,02:08,IST,1550,06:03,06:03,2,1,16°C overcast
LHR,FR199,02:09,02:41,IST,1550,06:04,06:45,2,1,16°C overcast
LHR,U2704,02:10,02:10,FRA,407,03:45,03:45,3,1,16°C overcast
LHR,FR916,02:12,04:34,BCN,713,04:22,06:44,3,1,16°C overcast
LHR,BA809,02:13,02:13,CDG,216,03:33,03:33,5,1,16°C overcast
LHR,LH490,02:15,02:15,AMS,230,03:35,03:35,3,1,16°C overcast
LHR,A3607,02:16,02:27,MUC,586,04:11,04:22,2,1,16°C overcast
LHR,TK190,02:17,02:17,FCO,898,04:52,04:52,3,2,16°C overcast
LHR,IB548,02:17,02:25,FCO,898,04:52,04:50,5,1,16°C overcast
LHR,U2587,02:17,02:17,LIS,975,05:02,05:02,2,1,16°C overcast
LHR,AF818,02:19,02:19,CDG,216,03:39,03:39,4,1,16°C overcast
LHR,U2947,02:24,02:24,BCN,713,04:34,04:34,4,1,16°C overcast
LHR,BA657,02:25,02:25,FCO,898,05:00,05:00,2,2,16°C overcast
LHR,U2639,02:25,02:47,MAD,772,04:50,05:12,4,2,16°C overcast
LHR,TP627,02:25,02:25,BCN,713,04:35,04:35,3,1,16°C overcast
LHR,SN845,02:27,02:27,CDG,216,03:47,03:41,2,1,16°C overcast
LHR,BA418,02:28,02:28,FCO,898,05:03,05:03,3,1,16°C overcast
LHR,AF771,02:28,03:01,AMS,230,03:48,04:21,2,1,16°C overcast
LHR,BA402,02:31,02:31,MUC,586,04:26,04:41,5,1,16°C overcast
